Epoch Number, Total Squared Error, 
0, 0.147864, 
1, 0.123453, 
2, 0.120987, 
3, 0.120671, 
4, 0.120400, 
5, 0.120140, 
6, 0.119887, 
7, 0.119640, 
8, 0.119399, 
9, 0.119163, 
10, 0.118930, 
11, 0.118702, 
12, 0.118477, 
13, 0.118255, 
14, 0.118036, 
15, 0.117821, 
16, 0.117607, 
17, 0.117397, 
18, 0.117189, 
19, 0.116983, 
20, 0.116780, 
21, 0.116580, 
22, 0.116382, 
23, 0.116186, 
24, 0.115993, 
25, 0.115802, 
26, 0.115614, 
27, 0.115428, 
28, 0.115245, 
29, 0.115065, 
30, 0.114887, 
31, 0.114712, 
32, 0.114539, 
33, 0.114369, 
34, 0.114202, 
35, 0.114038, 
36, 0.113876, 
37, 0.113716, 
38, 0.113559, 
39, 0.113405, 
40, 0.113253, 
41, 0.113103, 
42, 0.112955, 
43, 0.112809, 
44, 0.112666, 
45, 0.112524, 
46, 0.112384, 
47, 0.112245, 
48, 0.112109, 
49, 0.111974, 
50, 0.111840, 
51, 0.111709, 
52, 0.111578, 
53, 0.111449, 
54, 0.111321, 
55, 0.111195, 
56, 0.111071, 
57, 0.110947, 
58, 0.110826, 
59, 0.110705, 
60, 0.110587, 
61, 0.110469, 
62, 0.110354, 
63, 0.110239, 
64, 0.110127, 
65, 0.110016, 
66, 0.109906, 
67, 0.109798, 
68, 0.109692, 
69, 0.109587, 
70, 0.109484, 
71, 0.109382, 
72, 0.109282, 
73, 0.109183, 
74, 0.109085, 
75, 0.108988, 
76, 0.108893, 
77, 0.108799, 
78, 0.108706, 
79, 0.108614, 
80, 0.108523, 
81, 0.108433, 
82, 0.108344, 
83, 0.108255, 
84, 0.108168, 
85, 0.108081, 
86, 0.107994, 
87, 0.107909, 
88, 0.107824, 
89, 0.107739, 
90, 0.107656, 
91, 0.107573, 
92, 0.107490, 
93, 0.107408, 
94, 0.107327, 
95, 0.107246, 
96, 0.107166, 
97, 0.107086, 
98, 0.107007, 
99, 0.106929, 
100, 0.106852, 
101, 0.106775, 
102, 0.106698, 
103, 0.106623, 
104, 0.106548, 
105, 0.106474, 
106, 0.106400, 
107, 0.106328, 
108, 0.106256, 
109, 0.106184, 
110, 0.106114, 
111, 0.106044, 
112, 0.105975, 
113, 0.105907, 
114, 0.105840, 
115, 0.105773, 
116, 0.105707, 
117, 0.105642, 
118, 0.105577, 
119, 0.105514, 
120, 0.105450, 
121, 0.105388, 
122, 0.105326, 
123, 0.105265, 
124, 0.105205, 
125, 0.105145, 
126, 0.105086, 
127, 0.105027, 
128, 0.104969, 
129, 0.104912, 
130, 0.104855, 
131, 0.104798, 
132, 0.104743, 
133, 0.104687, 
134, 0.104632, 
135, 0.104578, 
136, 0.104524, 
137, 0.104470, 
138, 0.104417, 
139, 0.104364, 
140, 0.104312, 
141, 0.104260, 
142, 0.104208, 
143, 0.104157, 
144, 0.104106, 
145, 0.104055, 
146, 0.104005, 
147, 0.103955, 
148, 0.103906, 
149, 0.103856, 
150, 0.103807, 
151, 0.103759, 
152, 0.103710, 
153, 0.103662, 
154, 0.103614, 
155, 0.103567, 
156, 0.103520, 
157, 0.103473, 
158, 0.103426, 
159, 0.103380, 
160, 0.103334, 
161, 0.103288, 
162, 0.103242, 
163, 0.103197, 
164, 0.103152, 
165, 0.103108, 
166, 0.103064, 
167, 0.103020, 
168, 0.102976, 
169, 0.102933, 
170, 0.102890, 
171, 0.102847, 
172, 0.102805, 
173, 0.102763, 
174, 0.102722, 
175, 0.102681, 
176, 0.102640, 
177, 0.102599, 
178, 0.102559, 
179, 0.102520, 
180, 0.102480, 
181, 0.102441, 
182, 0.102403, 
183, 0.102365, 
184, 0.102327, 
185, 0.102290, 
186, 0.102253, 
187, 0.102216, 
188, 0.102180, 
189, 0.102144, 
190, 0.102109, 
191, 0.102074, 
192, 0.102040, 
193, 0.102006, 
194, 0.101972, 
195, 0.101939, 
196, 0.101906, 
197, 0.101873, 
198, 0.101841, 
199, 0.101809, 
200, 0.101778, 
201, 0.101747, 
202, 0.101716, 
203, 0.101686, 
204, 0.101656, 
205, 0.101627, 
206, 0.101598, 
207, 0.101569, 
208, 0.101540, 
209, 0.101512, 
210, 0.101484, 
211, 0.101457, 
212, 0.101430, 
213, 0.101403, 
214, 0.101376, 
215, 0.101350, 
216, 0.101324, 
217, 0.101298, 
218, 0.101273, 
219, 0.101247, 
220, 0.101222, 
221, 0.101198, 
222, 0.101173, 
223, 0.101149, 
224, 0.101125, 
225, 0.101101, 
226, 0.101077, 
227, 0.101054, 
228, 0.101031, 
229, 0.101008, 
230, 0.100985, 
231, 0.100962, 
232, 0.100939, 
233, 0.100917, 
234, 0.100895, 
235, 0.100873, 
236, 0.100851, 
237, 0.100829, 
238, 0.100808, 
239, 0.100786, 
240, 0.100765, 
241, 0.100744, 
242, 0.100723, 
243, 0.100702, 
244, 0.100681, 
245, 0.100661, 
246, 0.100640, 
247, 0.100620, 
248, 0.100599, 
249, 0.100579, 
250, 0.100559, 
251, 0.100539, 
252, 0.100519, 
253, 0.100500, 
254, 0.100480, 
255, 0.100461, 
256, 0.100441, 
257, 0.100422, 
258, 0.100403, 
259, 0.100384, 
260, 0.100365, 
261, 0.100346, 
262, 0.100327, 
263, 0.100308, 
264, 0.100290, 
265, 0.100271, 
266, 0.100253, 
267, 0.100234, 
268, 0.100216, 
269, 0.100198, 
270, 0.100180, 
271, 0.100162, 
272, 0.100144, 
273, 0.100126, 
274, 0.100109, 
275, 0.100091, 
276, 0.100074, 
277, 0.100056, 
278, 0.100039, 
279, 0.100022, 
280, 0.100005, 
281, 0.099988, 
282, 0.099971, 
283, 0.099954, 
284, 0.099937, 
285, 0.099920, 
286, 0.099904, 
287, 0.099887, 
288, 0.099871, 
289, 0.099854, 
290, 0.099838, 
291, 0.099822, 
292, 0.099806, 
293, 0.099790, 
294, 0.099774, 
295, 0.099758, 
296, 0.099742, 
297, 0.099726, 
298, 0.099711, 
299, 0.099695, 
300, 0.099680, 
301, 0.099664, 
302, 0.099649, 
303, 0.099634, 
304, 0.099619, 
305, 0.099604, 
306, 0.099589, 
307, 0.099574, 
308, 0.099559, 
309, 0.099544, 
310, 0.099529, 
311, 0.099515, 
312, 0.099500, 
313, 0.099485, 
314, 0.099471, 
315, 0.099457, 
316, 0.099442, 
317, 0.099428, 
318, 0.099414, 
319, 0.099400, 
320, 0.099386, 
321, 0.099372, 
322, 0.099358, 
323, 0.099344, 
324, 0.099330, 
325, 0.099317, 
326, 0.099303, 
327, 0.099290, 
328, 0.099276, 
329, 0.099263, 
330, 0.099249, 
331, 0.099236, 
332, 0.099223, 
333, 0.099209, 
334, 0.099196, 
335, 0.099183, 
336, 0.099170, 
337, 0.099157, 
338, 0.099144, 
339, 0.099131, 
340, 0.099118, 
341, 0.099106, 
342, 0.099093, 
343, 0.099080, 
344, 0.099067, 
345, 0.099055, 
346, 0.099042, 
347, 0.099030, 
348, 0.099017, 
349, 0.099005, 
350, 0.098993, 
351, 0.098980, 
352, 0.098968, 
353, 0.098956, 
354, 0.098944, 
355, 0.098932, 
356, 0.098920, 
357, 0.098908, 
358, 0.098896, 
359, 0.098884, 
360, 0.098872, 
361, 0.098860, 
362, 0.098848, 
363, 0.098837, 
364, 0.098825, 
365, 0.098813, 
366, 0.098801, 
367, 0.098790, 
368, 0.098778, 
369, 0.098767, 
370, 0.098755, 
371, 0.098744, 
372, 0.098732, 
373, 0.098721, 
374, 0.098710, 
375, 0.098699, 
376, 0.098687, 
377, 0.098676, 
378, 0.098665, 
379, 0.098654, 
380, 0.098643, 
381, 0.098632, 
382, 0.098621, 
383, 0.098609, 
384, 0.098599, 
385, 0.098588, 
386, 0.098577, 
387, 0.098566, 
388, 0.098555, 
389, 0.098544, 
390, 0.098533, 
391, 0.098523, 
392, 0.098512, 
393, 0.098501, 
394, 0.098491, 
395, 0.098480, 
396, 0.098470, 
397, 0.098459, 
398, 0.098449, 
399, 0.098438, 
400, 0.098428, 
401, 0.098417, 
402, 0.098407, 
403, 0.098396, 
404, 0.098386, 
405, 0.098376, 
406, 0.098366, 
407, 0.098355, 
408, 0.098345, 
409, 0.098335, 
410, 0.098325, 
411, 0.098315, 
412, 0.098305, 
413, 0.098295, 
414, 0.098285, 
415, 0.098275, 
416, 0.098265, 
417, 0.098255, 
418, 0.098245, 
419, 0.098235, 
420, 0.098225, 
421, 0.098215, 
422, 0.098206, 
423, 0.098196, 
424, 0.098186, 
425, 0.098176, 
426, 0.098167, 
427, 0.098157, 
428, 0.098147, 
429, 0.098138, 
430, 0.098128, 
431, 0.098119, 
432, 0.098109, 
433, 0.098100, 
434, 0.098090, 
435, 0.098081, 
436, 0.098072, 
437, 0.098062, 
438, 0.098053, 
439, 0.098044, 
440, 0.098034, 
441, 0.098025, 
442, 0.098016, 
443, 0.098007, 
444, 0.097997, 
445, 0.097988, 
446, 0.097979, 
447, 0.097970, 
448, 0.097961, 
449, 0.097952, 
450, 0.097943, 
451, 0.097934, 
452, 0.097925, 
453, 0.097916, 
454, 0.097907, 
455, 0.097898, 
456, 0.097889, 
457, 0.097881, 
458, 0.097872, 
459, 0.097863, 
460, 0.097854, 
461, 0.097846, 
462, 0.097837, 
463, 0.097828, 
464, 0.097819, 
465, 0.097811, 
466, 0.097802, 
467, 0.097794, 
468, 0.097785, 
469, 0.097777, 
470, 0.097768, 
471, 0.097760, 
472, 0.097751, 
473, 0.097743, 
474, 0.097734, 
475, 0.097726, 
476, 0.097717, 
477, 0.097709, 
478, 0.097701, 
479, 0.097693, 
480, 0.097684, 
481, 0.097676, 
482, 0.097668, 
483, 0.097660, 
484, 0.097651, 
485, 0.097643, 
486, 0.097635, 
487, 0.097627, 
488, 0.097619, 
489, 0.097611, 
490, 0.097603, 
491, 0.097595, 
492, 0.097587, 
493, 0.097579, 
494, 0.097571, 
495, 0.097563, 
496, 0.097555, 
497, 0.097547, 
498, 0.097539, 
499, 0.097532, 
500, 0.097524, 
501, 0.097516, 
502, 0.097508, 
503, 0.097500, 
504, 0.097493, 
505, 0.097485, 
506, 0.097477, 
507, 0.097470, 
508, 0.097462, 
509, 0.097454, 
510, 0.097447, 
511, 0.097439, 
512, 0.097432, 
513, 0.097424, 
514, 0.097416, 
515, 0.097409, 
516, 0.097402, 
517, 0.097394, 
518, 0.097387, 
519, 0.097379, 
520, 0.097372, 
521, 0.097364, 
522, 0.097357, 
523, 0.097350, 
524, 0.097342, 
525, 0.097335, 
526, 0.097328, 
527, 0.097321, 
528, 0.097313, 
529, 0.097306, 
530, 0.097299, 
531, 0.097292, 
532, 0.097285, 
533, 0.097277, 
534, 0.097270, 
535, 0.097263, 
536, 0.097256, 
537, 0.097249, 
538, 0.097242, 
539, 0.097235, 
540, 0.097228, 
541, 0.097221, 
542, 0.097214, 
543, 0.097207, 
544, 0.097200, 
545, 0.097193, 
546, 0.097186, 
547, 0.097179, 
548, 0.097172, 
549, 0.097165, 
550, 0.097159, 
551, 0.097152, 
552, 0.097145, 
553, 0.097138, 
554, 0.097131, 
555, 0.097125, 
556, 0.097118, 
557, 0.097111, 
558, 0.097105, 
559, 0.097098, 
560, 0.097091, 
561, 0.097085, 
562, 0.097078, 
563, 0.097071, 
564, 0.097065, 
565, 0.097058, 
566, 0.097051, 
567, 0.097045, 
568, 0.097038, 
569, 0.097032, 
570, 0.097025, 
571, 0.097019, 
572, 0.097012, 
573, 0.097006, 
574, 0.096999, 
575, 0.096993, 
576, 0.096987, 
577, 0.096980, 
578, 0.096974, 
579, 0.096967, 
580, 0.096961, 
581, 0.096955, 
582, 0.096948, 
583, 0.096942, 
584, 0.096936, 
585, 0.096929, 
586, 0.096923, 
587, 0.096917, 
588, 0.096911, 
589, 0.096904, 
590, 0.096898, 
591, 0.096892, 
592, 0.096886, 
593, 0.096880, 
594, 0.096873, 
595, 0.096867, 
596, 0.096861, 
597, 0.096855, 
598, 0.096849, 
599, 0.096843, 
600, 0.096837, 
601, 0.096831, 
602, 0.096825, 
603, 0.096819, 
604, 0.096813, 
605, 0.096807, 
606, 0.096801, 
607, 0.096795, 
608, 0.096789, 
609, 0.096783, 
610, 0.096777, 
611, 0.096771, 
612, 0.096765, 
613, 0.096759, 
614, 0.096753, 
615, 0.096747, 
616, 0.096741, 
617, 0.096735, 
618, 0.096729, 
619, 0.096724, 
620, 0.096718, 
621, 0.096712, 
622, 0.096706, 
623, 0.096700, 
624, 0.096694, 
625, 0.096689, 
626, 0.096683, 
627, 0.096677, 
628, 0.096671, 
629, 0.096666, 
630, 0.096660, 
631, 0.096654, 
632, 0.096649, 
633, 0.096643, 
634, 0.096637, 
635, 0.096631, 
636, 0.096626, 
637, 0.096620, 
638, 0.096615, 
639, 0.096609, 
640, 0.096603, 
641, 0.096598, 
642, 0.096592, 
643, 0.096586, 
644, 0.096581, 
645, 0.096575, 
646, 0.096570, 
647, 0.096564, 
648, 0.096559, 
649, 0.096553, 
650, 0.096548, 
651, 0.096542, 
652, 0.096537, 
653, 0.096531, 
654, 0.096526, 
655, 0.096520, 
656, 0.096515, 
657, 0.096509, 
658, 0.096504, 
659, 0.096498, 
660, 0.096493, 
661, 0.096488, 
662, 0.096482, 
663, 0.096477, 
664, 0.096471, 
665, 0.096466, 
666, 0.096461, 
667, 0.096455, 
668, 0.096450, 
669, 0.096445, 
670, 0.096439, 
671, 0.096434, 
672, 0.096429, 
673, 0.096423, 
674, 0.096418, 
675, 0.096413, 
676, 0.096407, 
677, 0.096402, 
678, 0.096397, 
679, 0.096392, 
680, 0.096386, 
681, 0.096381, 
682, 0.096376, 
683, 0.096371, 
684, 0.096366, 
685, 0.096360, 
686, 0.096355, 
687, 0.096350, 
688, 0.096345, 
689, 0.096340, 
690, 0.096334, 
691, 0.096329, 
692, 0.096324, 
693, 0.096319, 
694, 0.096314, 
695, 0.096309, 
696, 0.096304, 
697, 0.096299, 
698, 0.096293, 
699, 0.096288, 
700, 0.096283, 
701, 0.096278, 
702, 0.096273, 
703, 0.096268, 
704, 0.096263, 
705, 0.096258, 
706, 0.096253, 
707, 0.096248, 
708, 0.096243, 
709, 0.096238, 
710, 0.096233, 
711, 0.096228, 
712, 0.096223, 
713, 0.096218, 
714, 0.096213, 
715, 0.096208, 
716, 0.096203, 
717, 0.096198, 
718, 0.096193, 
719, 0.096188, 
720, 0.096183, 
721, 0.096178, 
722, 0.096173, 
723, 0.096168, 
724, 0.096163, 
725, 0.096158, 
726, 0.096154, 
727, 0.096149, 
728, 0.096144, 
729, 0.096139, 
730, 0.096134, 
731, 0.096129, 
732, 0.096124, 
733, 0.096119, 
734, 0.096115, 
735, 0.096110, 
736, 0.096105, 
737, 0.096100, 
738, 0.096095, 
739, 0.096090, 
740, 0.096086, 
741, 0.096081, 
742, 0.096076, 
743, 0.096071, 
744, 0.096066, 
745, 0.096062, 
746, 0.096057, 
747, 0.096052, 
748, 0.096047, 
749, 0.096042, 
750, 0.096038, 
751, 0.096033, 
752, 0.096028, 
753, 0.096023, 
754, 0.096019, 
755, 0.096014, 
756, 0.096009, 
757, 0.096004, 
758, 0.096000, 
759, 0.095995, 
760, 0.095990, 
761, 0.095986, 
762, 0.095981, 
763, 0.095976, 
764, 0.095972, 
765, 0.095967, 
766, 0.095962, 
767, 0.095957, 
768, 0.095953, 
769, 0.095948, 
770, 0.095943, 
771, 0.095939, 
772, 0.095934, 
773, 0.095929, 
774, 0.095925, 
775, 0.095920, 
776, 0.095916, 
777, 0.095911, 
778, 0.095906, 
779, 0.095902, 
780, 0.095897, 
781, 0.095892, 
782, 0.095888, 
783, 0.095883, 
784, 0.095879, 
785, 0.095874, 
786, 0.095869, 
787, 0.095865, 
788, 0.095860, 
789, 0.095856, 
790, 0.095851, 
791, 0.095846, 
792, 0.095842, 
793, 0.095837, 
794, 0.095833, 
795, 0.095828, 
796, 0.095824, 
797, 0.095819, 
798, 0.095814, 
799, 0.095810, 
800, 0.095805, 
801, 0.095801, 
802, 0.095796, 
803, 0.095792, 
804, 0.095787, 
805, 0.095783, 
806, 0.095778, 
807, 0.095773, 
808, 0.095769, 
809, 0.095764, 
810, 0.095760, 
811, 0.095755, 
812, 0.095751, 
813, 0.095746, 
814, 0.095742, 
815, 0.095737, 
816, 0.095733, 
817, 0.095728, 
818, 0.095724, 
819, 0.095719, 
820, 0.095715, 
821, 0.095710, 
822, 0.095706, 
823, 0.095701, 
824, 0.095697, 
825, 0.095692, 
826, 0.095687, 
827, 0.095683, 
828, 0.095678, 
829, 0.095674, 
830, 0.095669, 
831, 0.095665, 
832, 0.095660, 
833, 0.095656, 
834, 0.095651, 
835, 0.095647, 
836, 0.095642, 
837, 0.095638, 
838, 0.095633, 
839, 0.095629, 
840, 0.095624, 
841, 0.095620, 
842, 0.095615, 
843, 0.095611, 
844, 0.095606, 
845, 0.095602, 
846, 0.095597, 
847, 0.095593, 
848, 0.095588, 
849, 0.095584, 
850, 0.095579, 
851, 0.095575, 
852, 0.095570, 
853, 0.095566, 
854, 0.095561, 
855, 0.095557, 
856, 0.095552, 
857, 0.095548, 
858, 0.095543, 
859, 0.095539, 
860, 0.095534, 
861, 0.095530, 
862, 0.095525, 
863, 0.095521, 
864, 0.095516, 
865, 0.095512, 
866, 0.095507, 
867, 0.095503, 
868, 0.095498, 
869, 0.095494, 
870, 0.095489, 
871, 0.095485, 
872, 0.095480, 
873, 0.095475, 
874, 0.095471, 
875, 0.095466, 
876, 0.095462, 
877, 0.095457, 
878, 0.095453, 
879, 0.095448, 
880, 0.095444, 
881, 0.095439, 
882, 0.095434, 
883, 0.095430, 
884, 0.095425, 
885, 0.095421, 
886, 0.095416, 
887, 0.095412, 
888, 0.095407, 
889, 0.095402, 
890, 0.095398, 
891, 0.095393, 
892, 0.095389, 
893, 0.095384, 
894, 0.095379, 
895, 0.095375, 
896, 0.095370, 
897, 0.095366, 
898, 0.095361, 
899, 0.095356, 
900, 0.095352, 
901, 0.095347, 
902, 0.095343, 
903, 0.095338, 
904, 0.095333, 
905, 0.095329, 
906, 0.095324, 
907, 0.095319, 
908, 0.095315, 
909, 0.095310, 
910, 0.095305, 
911, 0.095301, 
912, 0.095296, 
913, 0.095291, 
914, 0.095287, 
915, 0.095282, 
916, 0.095277, 
917, 0.095273, 
918, 0.095268, 
919, 0.095263, 
920, 0.095258, 
921, 0.095254, 
922, 0.095249, 
923, 0.095244, 
924, 0.095240, 
925, 0.095235, 
926, 0.095230, 
927, 0.095225, 
928, 0.095221, 
929, 0.095216, 
930, 0.095211, 
931, 0.095206, 
932, 0.095202, 
933, 0.095197, 
934, 0.095192, 
935, 0.095187, 
936, 0.095183, 
937, 0.095178, 
938, 0.095173, 
939, 0.095168, 
940, 0.095163, 
941, 0.095159, 
942, 0.095154, 
943, 0.095149, 
944, 0.095144, 
945, 0.095139, 
946, 0.095135, 
947, 0.095130, 
948, 0.095125, 
949, 0.095120, 
950, 0.095115, 
951, 0.095111, 
952, 0.095106, 
953, 0.095101, 
954, 0.095096, 
955, 0.095091, 
956, 0.095086, 
957, 0.095082, 
958, 0.095077, 
959, 0.095072, 
960, 0.095067, 
961, 0.095062, 
962, 0.095057, 
963, 0.095053, 
964, 0.095048, 
965, 0.095043, 
966, 0.095038, 
967, 0.095033, 
968, 0.095028, 
969, 0.095023, 
970, 0.095019, 
971, 0.095014, 
972, 0.095009, 
973, 0.095004, 
974, 0.094999, 
975, 0.094994, 
976, 0.094989, 
977, 0.094985, 
978, 0.094980, 
979, 0.094975, 
980, 0.094970, 
981, 0.094965, 
982, 0.094960, 
983, 0.094956, 
984, 0.094951, 
985, 0.094946, 
986, 0.094941, 
987, 0.094936, 
988, 0.094931, 
989, 0.094927, 
990, 0.094922, 
991, 0.094917, 
992, 0.094912, 
993, 0.094907, 
994, 0.094902, 
995, 0.094898, 
996, 0.094893, 
997, 0.094888, 
998, 0.094883, 
999, 0.094878, 
1000, 0.094874, 
1001, 0.094869, 
1002, 0.094864, 
1003, 0.094859, 
1004, 0.094854, 
1005, 0.094850, 
1006, 0.094845, 
1007, 0.094840, 
1008, 0.094835, 
1009, 0.094831, 
1010, 0.094826, 
1011, 0.094821, 
1012, 0.094816, 
1013, 0.094812, 
1014, 0.094807, 
1015, 0.094802, 
1016, 0.094797, 
1017, 0.094793, 
1018, 0.094788, 
1019, 0.094783, 
1020, 0.094779, 
1021, 0.094774, 
1022, 0.094769, 
1023, 0.094765, 
1024, 0.094760, 
1025, 0.094755, 
1026, 0.094751, 
1027, 0.094746, 
1028, 0.094741, 
1029, 0.094737, 
1030, 0.094732, 
1031, 0.094727, 
1032, 0.094723, 
1033, 0.094718, 
1034, 0.094714, 
1035, 0.094709, 
1036, 0.094704, 
1037, 0.094700, 
1038, 0.094695, 
1039, 0.094691, 
1040, 0.094686, 
1041, 0.094681, 
1042, 0.094677, 
1043, 0.094672, 
1044, 0.094668, 
1045, 0.094663, 
1046, 0.094659, 
1047, 0.094654, 
1048, 0.094650, 
1049, 0.094645, 
1050, 0.094641, 
1051, 0.094636, 
1052, 0.094632, 
1053, 0.094627, 
1054, 0.094623, 
1055, 0.094618, 
1056, 0.094614, 
1057, 0.094610, 
1058, 0.094605, 
1059, 0.094601, 
1060, 0.094596, 
1061, 0.094592, 
1062, 0.094587, 
1063, 0.094583, 
1064, 0.094579, 
1065, 0.094574, 
1066, 0.094570, 
1067, 0.094565, 
1068, 0.094561, 
1069, 0.094557, 
1070, 0.094552, 
1071, 0.094548, 
1072, 0.094544, 
1073, 0.094539, 
1074, 0.094535, 
1075, 0.094531, 
1076, 0.094526, 
1077, 0.094522, 
1078, 0.094518, 
1079, 0.094513, 
1080, 0.094509, 
1081, 0.094505, 
1082, 0.094501, 
1083, 0.094496, 
1084, 0.094492, 
1085, 0.094488, 
1086, 0.094484, 
1087, 0.094479, 
1088, 0.094475, 
1089, 0.094471, 
1090, 0.094467, 
1091, 0.094462, 
1092, 0.094458, 
1093, 0.094454, 
1094, 0.094450, 
1095, 0.094446, 
1096, 0.094441, 
1097, 0.094437, 
1098, 0.094433, 
1099, 0.094429, 
1100, 0.094425, 
1101, 0.094421, 
1102, 0.094416, 
1103, 0.094412, 
1104, 0.094408, 
1105, 0.094404, 
1106, 0.094400, 
1107, 0.094396, 
1108, 0.094392, 
1109, 0.094388, 
1110, 0.094383, 
1111, 0.094379, 
1112, 0.094375, 
1113, 0.094371, 
1114, 0.094367, 
1115, 0.094363, 
1116, 0.094359, 
1117, 0.094355, 
1118, 0.094351, 
1119, 0.094347, 
1120, 0.094343, 
1121, 0.094339, 
1122, 0.094335, 
1123, 0.094331, 
1124, 0.094327, 
1125, 0.094323, 
1126, 0.094319, 
1127, 0.094315, 
1128, 0.094311, 
1129, 0.094307, 
1130, 0.094303, 
1131, 0.094299, 
